FechaExtraccion,Año,PC,Cat,TipDia,ValMop,Hinicio,Hfin,Tarifa_Inf,Tarifa_Inicial,Tarifa_Periodo,Conces,Sentido
2023-11-06T16:16:37.76Z,2018,0101,1,0001,589,120000,135959,3130,TBFP,TBP,TSC,N
2023-11-06T16:16:37.76Z,2018,0101,2,0001,1768,120000,135959,9386,TBFP,TBP,TSC,N
2023-11-06T16:16:37.76Z,2018,0101,3,0001,2947,120000,135959,15646,TBFP,TBP,TSC,N
2023-11-06T16:16:37.76Z,2018,0101,4,0001,589,120000,135959,3130,TBFP,TBP,TSC,N
2023-11-06T16:16:37.76Z,2018,0101,1,0001,368,140000,162959,1954,TBFP,TBFP,TSC,N
2023-11-06T16:16:37.76Z,2018,0101,2,0001,1105,140000,162959,5869,TBFP,TBFP,TSC,N
2023-11-06T16:16:37.76Z,2018,0101,3,0001,1842,140000,162959,9778,TBFP,TBFP,TSC,N
2023-11-06T16:16:37.76Z,2018,0101,4,0001,368,140000,162959,1954,TBFP,TBFP,TSC,N
2023-11-06T16:16:37.76Z,2018,0101,1,0001,589,163000,172959,3130,TBFP,TBP,TSC,N
2023-11-06T16:16:37.76Z,2018,0101,2,0001,1768,163000,172959,9386,TBFP,TBP,TSC,N
2023-11-06T16:16:37.76Z,2018,0101,3,0001,2947,163000,172959,15646,TBFP,TBP,TSC,N
2023-11-06T16:16:37.76Z,2018,0101,4,0001,589,163000,172959,3130,TBFP,TBP,TSC,N
2023-11-06T16:16:37.76Z,2018,0101,1,0001,737,173000,202959,3909,TS,TS,TSC,N
